"","n","allee","allee.f","initial.slope","slope.after.thresh"
"384",513,FALSE,"without Allee effect",0.794221837075154,1.86584036541085
"385",514,TRUE,"with Allee effect",0.509392172253217,3.0734209670181
"386",515,FALSE,"without Allee effect",0.868755466721617,1.33770148322638
"387",516,TRUE,"with Allee effect",0.909178469504804,1.88433929833191
"388",518,TRUE,"with Allee effect",0.800839299698857,2.05589009287129
"389",519,FALSE,"without Allee effect",0.847996906554921,1.95350733613682
"390",520,TRUE,"with Allee effect",1.04433932995001,2.46443953605001
"391",522,TRUE,"with Allee effect",0.61416098417891,2.86066417277492
"392",524,TRUE,"with Allee effect",0.591526471040761,3.14459713812357
"393",525,FALSE,"without Allee effect",0.927594413226619,2.13060290052655
"394",526,TRUE,"with Allee effect",1.07049724812185,2.05847986897244
"395",528,TRUE,"with Allee effect",0.8852986136399,2.62068011624281
"396",529,FALSE,"without Allee effect",0.948088389570027,2.08768934736373
"397",530,TRUE,"with Allee effect",0.826916320710041,2.29727575024626
"398",531,FALSE,"without Allee effect",0.960375364332112,1.83235018054418
"399",532,TRUE,"with Allee effect",0.757591597962638,2.55457003774387
"400",534,TRUE,"with Allee effect",1.0172672885191,2.16874398050008
"401",535,FALSE,"without Allee effect",0.866733469136547,1.95596692536497
"402",536,TRUE,"with Allee effect",0.96032181582992,2.6947021722614
"403",538,TRUE,"with Allee effect",0.41298145288961,14.6098884788093
"404",539,FALSE,"without Allee effect",0.806676656064975,1.58278965796659
"405",540,TRUE,"with Allee effect",0.792658528628645,2.3540749077659
"406",544,TRUE,"with Allee effect",0.929702741875268,3.33435345613543
